参数路径,当前值,ops.veh_commercial,ops.veh_passenger_ops,ops.veh_private,ops.veh_total,ops.battery_vehicle,ops.battery_station,ops.battery_total,ops.annual_energy,scale.daily_swaps,scale.heavy_stations,scale.choco_stations,mfg.swap_veh_2030,mfg.charge_veh_2030,mfg.swap_gwh_2030,mfg.charge_gwh_2030,capex.initial_capex,capex.equity_call,capex.peak_call,capex.project_debt,swap.revenue,swap.service_rev,swap.rent_rev,swap.ancillary,swap.opex,swap.ebitda,swap.required_ebitda,swap.coverage,swap.operating_value,mfg.with_swap_np,mfg.no_swap_np,val.power_with_swap,val.power_no_swap,val.swap_increment,val.incr_over_mktcap,fund.peak_cash_to_cfo,fund.closing_liquidity,fund.exposure
swap_business.rte,0.92,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0000,0.0000,-4.9220,0.5491,0.0000,0.5491,0.6604,0.0000,0.0000,0.2347,0.0000,0.5901,0.5901,0.0000,0.0000,0.0000
swap_business.auxiliary_power_rate,0.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1062,-0.0111,0.0000,-0.0111,-0.0134,0.0000,0.0000,-0.0048,0.0000,-0.0120,-0.0120,0.0000,0.0000,0.0000
swap_business.valley_power_price_rmb_kwh,0.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5308,-0.0556,0.0000,-0.0556,-0.0669,0.0000,0.0000,-0.0238,0.0000,-0.0598,-0.0598,0.0000,0.0000,0.0000
swap_business.site_rent_wan_year,15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1900,-0.0199,0.0000,-0.0199,-0.0239,0.0000,0.0000,-0.0085,0.0000,-0.0214,-0.0214,0.0000,0.0000,0.0000
swap_business.heavy_station_labor_wan_year,26.88,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1085,-0.0114,0.0000,-0.0114,-0.0137,0.0000,0.0000,-0.0049,0.0000,-0.0122,-0.0122,0.0000,0.0000,0.0000
swap_business.passenger_station_labor_wan_year,2.688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0232,-0.0024,0.0000,-0.0024,-0.0029,0.0000,0.0000,-0.0010,0.0000,-0.0026,-0.0026,0.0000,0.0000,0.0000
swap_business.software_opex_yi_year,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0224,-0.0024,0.0000,-0.0024,-0.0028,0.0000,0.0000,-0.0010,0.0000,-0.0025,-0.0025,0.0000,0.0000,0.0000
swap_business.with_swap_manufacturing_net_margin,0.135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.6446,0.0000,1.6209,1.6209,0.0000,0.0000,0.0000
swap_business.no_swap_manufacturing_net_margin,0.125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,-1.5144,-1.5144,0.0000,0.0000,0.0000
swap_business.battery_insurance_rate,0.002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0531,-0.0056,0.0000,-0.0056,-0.0067,0.0000,0.0000,-0.0024,0.0000,-0.0060,-0.0060,0.0000,0.0000,0.0000
